Danceability,Energy,Loudness,Speechiness,Acousticness,Liveness,Valence,Tempo,Duration_ms,Composer
0.0,0.401998473402944,0.447642310960068,0.14136736764683527,0.6262022331891264,0.00997057196036191,0.34623325271607397,0.3426770540571635,0.019101645578132327,0.0
0.0,0.5120289285114372,0.6876933668947053,0.1588455703954601,0.5930250957461292,0.0438161292360753,0.7527099746108272,0.6109659287017406,0.031302507989235465,0.38137714516026394
0.0,0.40751438996882045,0.651125743415463,0.14847750769099077,0.5900901977013862,0.01092633204564353,0.38628022039043386,0.3488445671646697,0.026300857620418686,0.38137714516026394
1.0,0.5272011305477116,0.8496176720475785,0.12586959478931378,0.1659756798957781,0.01016184704551178,0.5442042163466922,0.6172443830843318,0.051426239501698494,0.6999010390895597
4.0,0.5929173481493355,0.8370577303793231,0.12428247347257965,0.16355213885745493,0.012068407108356622,0.30118041408241897,0.4026634123892642,0.05117725576409439,0.5575096316144025
6.0,0.6664935170425035,0.8709108733335394,0.13044423858460627,0.16356142023887968,0.010106436065232854,0.8488226970292911,0.42335190572456977,0.050450522118678,0.7674842925741857
0.0,0.5369404208407089,0.771857783181933,0.13016415835224143,0.34974435260514547,0.01986588836936863,0.46836057490411814,0.6848281642917016,0.049893879746788154,0.38137714516026394
6.0,0.6978750154753983,0.8415675446049278,0.13865992540064176,0.16358203082143621,0.009502207985410844,0.885866142128074,0.4768132735072235,0.04224424873974312,0.7674842925741857
1.0,0.9393652809287046,0.8757221750212404,0.1799573856024879,0.16355019112728023,0.009788141888615967,0.3532414720590869,0.5142415725720296,0.05076697099965762,0.38137714516026394
5.0,0.618734233856628,0.8388151496900342,0.12437583355003459,0.21399277792068389,0.014390728920311907,0.6836289553725564,0.4363320349095212,0.03065774339423949,0.6999010390895597
1.0,0.6141206888045829,0.8591467984735851,0.12811023664823254,0.16358281587493595,0.010150004594106522,0.6185526329017215,0.6738696316749667,0.03789761032748504,0.5575096316144025
3.0,0.7783336699060703,0.8725148683092608,0.15499793895525782,0.16355020889689434,0.03186724793582151,0.7657252391049942,0.3954070312114787,0.05041536113190249,0.6999010390895597
2.0,0.48839130998670294,0.8271240441801189,0.13184463974643051,0.16680114504725888,0.011555055640328514,0.297175717314983,0.6418445836004142,0.03816175724063608,0.6999010390895597
0.0,0.40574648196541574,0.5822876132504696,0.1316743412636851,0.7815870095914043,0.010191870154493434,0.2190841303499811,0.545383199382016,0.04187215596351596,0.38137714516026394
1.0,0.40184223721106704,0.3585174171622769,0.13399192152789433,0.7520739419806654,0.05452023348215673,0.2320993948441481,0.5457201321433853,0.014424794824654356,0.7486390729087856
2.0,0.4038537663492548,0.5062871707731521,0.13315168083079978,0.7667101397477543,0.011014819018704344,0.2938286619680839,0.5518753184425489,0.01288122750520932,0.6999010390895597
