Danceability,Energy,Loudness,Speechiness,Acousticness,Liveness,Valence,Tempo,Duration_ms,Finneas O'Connell,J. Cole,Juicy J,Louis Bell,Ludwig Göransson,Mike Dean,"Noah ""40"" Shebib",Ricky Reed,Terrace Martin,Yeti Beats
0.0,0.4124340173415231,0.447642310960068,0.13707776990556644,0.6305748064209535,0.007831303759966116,0.3622585282435795,0.3426770540571635,0.019101645578132327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.5205443642265466,0.6799107385648269,0.14759903667489033,0.5969754223773029,0.041749994947009775,0.758771602566867,0.6109659287017406,0.031302507989235465,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.4310734818023881,0.651125743415463,0.1372183694150614,0.5940031717814309,0.008789129063815732,0.40132385576311524,0.3488445671646697,0.026300857620418686,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.5354518007497702,0.8496176720475785,0.12150257253732942,0.1644909335203182,0.00802299215475669,0.5535379679972775,0.6172443830843318,0.051426239501698494,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.6064322203041506,0.8397724403221681,0.11990752220443768,0.162036547989557,0.009933671936873579,0.3183100347841018,0.4026634123892642,0.05117725576409439,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,0.672313437898741,0.8703390315184504,0.12610007055566444,0.16204594749545115,0.007967461441725679,0.8525283886137528,0.42335190572456977,0.050450522118678,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.5450211336308501,0.7628666958917049,0.12581859108515414,0.3505984366212897,0.017748002094728883,0.43500319059876513,0.6848281642917016,0.049893879746788154,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,0.7031473072852377,0.8415675446049278,0.13435680169063347,0.1620668203896202,0.007361927738171343,0.8886638165693234,0.4768132735072235,0.04225287912837061,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,0.940423399088825,0.8757221750212404,0.16903900049078235,0.16203457547055153,0.0076484794909971125,0.36909496055949825,0.5142415725720296,0.05076697099965762,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.6275462524104359,0.8374881631672444,0.12000134869460778,0.213119146848619,0.012261011851384904,0.691383912595668,0.4363320349095212,0.03065774339423949,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
