Danceability,Energy,Loudness,Speechiness,Acousticness,Liveness,Valence,Tempo,Duration_ms,Finneas O'Connell,J. Cole,Juicy J,Ludwig Göransson,Mike Dean,Ricky Reed,Terrace Martin,Yeti Beats,A$AP Rocky,Big Thief,Billie Eilish,Chance the Rapper,Daft Punk,Drake,Dua Lipa,Halsey,Radiohead,Shawn Mendes,Travis Scott,Vampire Weekend
0.0,0.000273359449,-25.176,0.0443,0.7241507920000001,0.000806954491,0.34,83.398,117907.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.1842200089999999,-14.197750832634675,0.056811604711341085,0.672221376,0.034965783,0.746,148.692,173427.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.028640234529504094,-15.596,0.04574643623513187,0.667627624,0.0017715609999999,0.38,84.899,150667.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.2095845839999999,-6.251,0.0277,0.003796416,0.001,0.5222948533289238,150.22,265000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.32865443345546425,-6.690812529338858,0.026,3.0486250000000004e-06,0.0029242069999999,0.295,97.997,263867.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,0.442450728,-5.316840842187516,0.0326,1.7575999999999996e-05,0.000944076141,0.842,103.032,260560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.2258665289999999,-10.28799039942038,0.0323,0.291434247,0.010793861,0.42105912413945934,166.668,258027.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,0.4949136710000001,-6.63,0.0414,4.9836032e-05,0.000334255384,0.879,116.043,223255.5616950334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.8986321249999999,-5.022,0.07931828686724696,4.826808999999999e-12,0.000622835864,0.347,125.152,262000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.36590043219140067,-6.757812895597914,0.0261,0.0789535889999999,0.0052680239999999,0.677,106.191,170493.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.3548949119999999,-5.73638229572701,0.0301,5.1064811e-05,0.0009880479359999,0.612,164.001,203438.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.6294227929999999,-5.173,0.0589,2.7818127000000002e-08,0.0229063039999999,0.759,96.231,260400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.144703125,-7.31,0.0341,0.0050884479999999,0.002406104,0.291,156.207,204640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0065392029999999,-19.056603494574585,0.031862828063301374,0.967361669,0.001030301,0.213,132.731,221550.0571097947,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.2167e-05,-29.372,0.0364,0.921167317,0.043716702216694485,0.226,132.813,96625.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0033749999999999,-22.415,0.0355,0.944076141,0.0018608669999999,0.30533592084750966,134.311,89601.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.003869893,-16.714,0.0331,0.941192,0.000586376253,0.319,77.483,175644.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.000340068392,-16.827,0.02777553751724421,0.973242271,0.001295029,0.232,105.202,187373.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.036926037,-13.012,0.08834699958022355,0.31849325514842486,0.020570824,0.272,144.553,272467.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.031255875,-13.781,0.0388,0.6162950509999999,0.0018608669999999,0.578,125.231,194000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.036264691,-12.953,0.0648,0.8439086249999999,0.0462682789999999,0.576,170.721,162286.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0133120529999999,-14.936,0.0334,0.7660608750000001,0.0018608669999999,0.082,117.069,217606.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
9.0,0.258474853,-6.651345878148094,0.101,1.3738809599999996e-07,0.000881974079,0.569,119.988,272080.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.437245479,-4.315,0.306,2.8632880000000007e-06,0.03817664940531103,0.518,85.996,324307.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.529475129,-6.759,0.251,0.0869383069999999,0.000230346397,0.737,83.011,231240.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.241804367,-6.711,0.303,6.44972544e-07,0.023691920350052194,0.715,99.498,224601.89922536063,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.7863304670000001,-3.99,0.304,-0.08029780703933193,0.001331,0.72,79.675,237233.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.5681252763474114,-4.967381912521874,0.339,5.759303679999998e-07,0.458314011,0.78,136.734,158467.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.3126834675631819,-7.275393619724873,0.37,0.05530263292100758,0.007645373,0.442,138.335,221415.29537010693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.1140841249999999,-13.131,0.439,0.4967930880000001,0.0010612079999999,0.698,174.836,202451.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.2236485429999999,-8.177676046448827,0.219,0.10836996706943036,0.000354894912,0.526,86.055,252360.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,0.4986772570000001,-4.699,0.323,-0.03492707545272804,0.0002371766589999,0.56,89.767,238600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
